gameId,gameDuration,blueWins,totalDamageDealtToChampionsDiff,totalVisionScoreDiff,totalGoldEarnedDiff,totalMinionsKilledDiff,totalNeutralMinionsKilledTeamJungleDiff,totalNeutralMinionsKilledEnemyJungleDiff,totalVisionWardsBoughtInGameDiff,totalWardsPlacedDiff,totalWardsKilledDiff,averageChampLevelDiff,teamKDA_Diff,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
4217374559.0,1469.0,False,-31219.0,8.0,-11463.0,17.0,-29.0,-17.0,3.0,12.0,-1.0,-1.3999999999999986,-3.1120448179271705,fail,fail,fail,fail,success,fail,-8.0,-2.0,-1.0,1.0,0.0
4217362088.0,1548.0,False,-30907.0,-16.0,-11789.0,-6.0,-14.0,-18.0,7.0,-4.0,-5.0,-1.1999999999999993,-7.067460317460318,fail,success,fail,fail,fail,success,-10.0,-4.0,-1.0,-3.0,0.0
4255369049.0,1934.0,False,-34888.0,-39.0,-1939.0,-31.0,6.0,34.0,4.0,-21.0,13.0,-0.7999999999999989,0.5210526315789474,success,success,neutral,fail,success,success,-1.0,0.0,-1.0,4.0,1.0
4252660619.0,1504.0,True,1000.0,30.0,9968.0,32.0,-4.0,24.0,6.0,13.0,6.0,2.0,3.3066666666666666,success,success,success,success,success,success,5.0,1.0,1.0,-1.0,2.0
4251661280.0,1602.0,True,10937.0,-12.0,6440.0,-21.0,24.0,13.0,5.0,-13.0,12.0,1.1999999999999993,2.4844827586206897,fail,fail,neutral,neutral,fail,fail,0.0,0.0,0.0,0.0,-1.0
4248427980.0,925.0,True,17442.0,1.0,11122.0,71.0,-12.0,7.0,3.0,2.0,-4.0,1.4000000000000004,10.071428571428571,success,success,neutral,neutral,success,success,4.0,0.0,0.0,1.0,1.0
4242756187.0,1215.0,True,8739.0,39.0,3728.0,-46.0,4.0,10.0,2.0,-3.0,16.0,0.7999999999999989,3.0227272727272725,success,success,neutral,neutral,fail,success,2.0,0.0,0.0,0.0,1.0
4242619781.0,1125.0,False,-18646.0,-26.0,-10818.0,-110.0,-23.0,-9.0,3.0,0.0,-7.0,-1.1999999999999993,-2.862857142857143,fail,fail,neutral,neutral,fail,fail,-4.0,0.0,0.0,-2.0,-1.0
4241600757.0,1005.0,True,9999.0,6.0,7361.0,-54.0,-23.0,29.0,9.0,-9.0,3.0,1.0,6.659090909090909,fail,success,neutral,neutral,success,success,4.0,0.0,0.0,2.0,1.0
4239390398.0,1702.0,True,39460.0,46.0,10902.0,48.0,7.0,24.0,10.0,-5.0,20.0,2.200000000000001,5.765151515151515,success,fail,success,success,success,fail,4.0,1.0,1.0,4.0,-2.0
4236175415.0,1540.0,False,-21574.0,-57.0,-10432.0,-94.0,-23.0,-20.0,9.0,0.0,-10.0,-1.200000000000001,-2.4301270417422867,success,fail,fail,neutral,success,success,-8.0,-2.0,0.0,-1.0,1.0
4236139007.0,1241.0,True,39382.0,45.0,21061.0,161.0,49.0,41.0,2.0,16.0,3.0,2.6000000000000014,11.102678571428571,success,success,success,neutral,success,success,10.0,2.0,0.0,2.0,1.0
4235790174.0,1865.0,False,-7204.0,-47.0,-9158.0,-40.0,17.0,-9.0,5.0,-43.0,17.0,-1.3999999999999986,-1.0534804753820035,success,fail,neutral,fail,success,fail,-2.0,0.0,-2.0,0.0,0.0
4233125731.0,1950.0,False,8217.0,60.0,-5345.0,44.0,14.0,-4.0,5.0,0.0,15.0,-1.4000000000000004,-1.2664576802507836,success,success,fail,fail,success,success,-4.0,-1.0,-2.0,0.0,0.0
4233019212.0,1987.0,False,4067.0,-20.0,-2017.0,-78.0,-22.0,1.0,3.0,-29.0,6.0,-0.8000000000000007,-1.8730025231286795,fail,success,success,success,fail,fail,-2.0,0.0,2.0,-2.0,0.0
4229343077.0,1499.0,True,6747.0,60.0,4252.0,105.0,-6.0,-18.0,4.0,42.0,-3.0,1.0,0.75,fail,fail,success,success,fail,fail,4.0,1.0,1.0,-2.0,0.0
4227384146.0,1782.0,True,12016.0,-13.0,16007.0,12.0,-3.0,19.0,3.0,15.0,-18.0,1.799999999999999,4.6532507739938085,success,success,success,success,success,success,8.0,2.0,2.0,3.0,1.0
4227207879.0,1617.0,False,-38599.0,-11.0,-12265.0,-2.0,-38.0,-36.0,6.0,-14.0,7.0,-1.8000000000000007,-6.575757575757575,fail,success,fail,fail,fail,success,-7.0,-2.0,-1.0,-3.0,2.0
4227141651.0,1699.0,True,-4321.0,39.0,7141.0,22.0,-20.0,-19.0,2.0,33.0,-1.0,1.3999999999999986,2.358348968105066,success,fail,success,success,fail,fail,4.0,1.0,1.0,0.0,-2.0
4227095083.0,1121.0,False,-15100.0,-16.0,-9300.0,-2.0,2.0,-12.0,0.0,9.0,-7.0,-1.0,-3.796363636363637,fail,fail,neutral,neutral,success,fail,-4.0,0.0,0.0,0.0,-1.0
4226198780.0,1961.0,False,-7005.0,44.0,-7617.0,51.0,-12.0,-26.0,0.0,9.0,7.0,-0.5999999999999996,-1.6666666666666665,success,fail,fail,fail,fail,fail,-6.0,-1.0,-1.0,-5.0,0.0
4220055124.0,1911.0,False,-1897.0,43.0,-450.0,-49.0,-39.0,14.0,14.0,11.0,3.0,-0.6000000000000014,-0.6919504643962848,success,success,success,success,success,success,2.0,1.0,2.0,-1.0,1.0
4219954232.0,1992.0,True,-7199.0,48.0,6856.0,49.0,-12.0,-14.0,3.0,1.0,14.0,1.0,1.8166666666666669,success,fail,success,fail,success,fail,5.0,2.0,0.0,3.0,-2.0
4219882444.0,1650.0,True,16411.0,22.0,14610.0,107.0,20.0,37.0,10.0,3.0,10.0,1.8000000000000007,1.8576923076923075,success,success,success,success,fail,success,10.0,3.0,1.0,0.0,2.0
4215981110.0,1415.0,False,-27214.0,-35.0,-11294.0,-35.0,-25.0,-12.0,0.0,1.0,-6.0,-1.8000000000000007,-2.4400000000000004,success,fail,fail,fail,fail,fail,-8.0,-1.0,-1.0,-3.0,-2.0
4215824413.0,2000.0,False,-22615.0,23.0,-2291.0,15.0,5.0,-5.0,2.0,32.0,-17.0,-0.7999999999999972,-1.3436293436293436,fail,success,fail,success,fail,success,0.0,-1.0,0.0,0.0,0.0
4215794688.0,2059.0,True,5126.0,0.0,2836.0,118.0,-35.0,-8.0,8.0,-15.0,13.0,0.7999999999999972,1.2276923076923074,fail,fail,fail,fail,success,fail,-1.0,0.0,-1.0,0.0,0.0
4215589797.0,814.0,False,-14252.0,-22.0,-9379.0,-141.0,27.0,-4.0,1.0,-10.0,-1.0,-1.5999999999999996,-2.9916666666666667,fail,fail,fail,neutral,fail,fail,-6.0,-1.0,0.0,-1.0,-1.0
4215346954.0,1409.0,True,-9705.0,0.0,3443.0,-16.0,-9.0,11.0,1.0,0.0,4.0,1.0,0.6274509803921566,fail,success,success,neutral,fail,success,5.0,1.0,0.0,1.0,2.0
4215260119.0,1465.0,True,24217.0,11.0,11065.0,2.0,-22.0,15.0,7.0,-11.0,6.0,1.8000000000000007,5.967741935483871,fail,fail,success,success,success,fail,9.0,3.0,1.0,3.0,0.0
4214854321.0,1089.0,True,4659.0,-20.0,5390.0,-31.0,-28.0,-12.0,6.0,3.0,-1.0,0.8000000000000007,6.294117647058823,fail,success,neutral,neutral,success,success,2.0,0.0,0.0,2.0,1.0
4214299579.0,2154.0,False,-19613.0,57.0,354.0,-104.0,-5.0,7.0,18.0,21.0,-6.0,-0.1999999999999993,0.36896551724137927,success,success,fail,success,fail,success,-2.0,-1.0,1.0,-1.0,2.0
4213805561.0,969.0,True,4177.0,-13.0,7511.0,104.0,-6.0,19.0,5.0,3.0,1.0,1.1999999999999993,1.0857142857142854,success,success,neutral,neutral,fail,success,4.0,0.0,0.0,-2.0,1.0
4213751165.0,1266.0,False,-23966.0,-54.0,-9788.0,-6.0,0.0,14.0,5.0,0.0,-15.0,-2.0,-10.916666666666668,fail,fail,fail,neutral,fail,fail,-5.0,-1.0,0.0,-3.0,-2.0
4213576605.0,1128.0,True,12421.0,23.0,9776.0,-13.0,30.0,7.0,10.0,5.0,3.0,1.3999999999999986,6.195488721804511,success,fail,neutral,neutral,success,fail,5.0,0.0,0.0,2.0,-1.0
4213571055.0,1622.0,True,15814.0,75.0,7034.0,96.0,-15.0,3.0,13.0,3.0,23.0,0.5999999999999996,0.48917748917748893,success,success,success,success,fail,fail,3.0,1.0,1.0,-2.0,-1.0
4213464021.0,1631.0,False,-29063.0,-14.0,-9227.0,29.0,-2.0,-11.0,5.0,-9.0,3.0,-1.799999999999999,-4.395424836601308,fail,success,fail,fail,fail,success,-3.0,-1.0,-1.0,-1.0,2.0
4213366958.0,914.0,True,18745.0,44.0,10007.0,71.0,0.0,16.0,4.0,11.0,9.0,1.4000000000000004,10.254545454545456,success,success,neutral,neutral,success,neutral,3.0,0.0,0.0,1.0,0.0
4213279208.0,1355.0,False,-11730.0,-20.0,-4404.0,-34.0,-17.0,-7.0,0.0,-9.0,-8.0,-0.8000000000000007,-0.1561264822134385,success,fail,fail,neutral,fail,fail,-4.0,-1.0,0.0,-3.0,-2.0
4213228937.0,1478.0,True,38644.0,69.0,11940.0,54.0,13.0,22.0,5.0,23.0,5.0,1.8000000000000007,2.5166666666666666,success,success,success,success,success,success,6.0,1.0,1.0,3.0,2.0
4256728020.0,1879.0,False,-5670.0,-32.0,-8871.0,-22.0,-12.0,-36.0,6.0,3.0,-5.0,-0.7999999999999989,-0.8888888888888888,fail,fail,fail,fail,fail,success,-5.0,-1.0,-1.0,0.0,0.0
4256597447.0,1990.0,True,22031.0,4.0,6996.0,8.0,-34.0,-11.0,3.0,6.0,4.0,1.0,3.048611111111111,success,fail,success,success,success,fail,6.0,2.0,1.0,5.0,-2.0
